comment,date_time,color,size,thumb_up,thumb_down,prod_eval,prod,brand,cleaned_comment,lemma_comment
Работает. Очень довольна,2020-10-14T08:42:36Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,работает довольна,работать довольный
"Пришёл мой долгожданный. Красивый цвет. Так вроде целый ещё не испытывала его позже добавлю отзыв как попробую как он работает. Крышка три насадки все положили спасибо, даже лопатку селеконовую в подарок положили спасибо! Заказывала два миксера один себе один маме будем испытывать. Надеюсь прослужит долго и не подведёт. Да кстати не такой он и шумный как писали что очень шумит он, нет мои два нормально шумят они тише работают чем мясорубки. Покупайте советскую!",2020-10-12T17:17:47Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришёл долгожданный красивый цвет вроде целый ещё испытывала позже добавлю попробую работает крышка насадки положили спасибо лопатку селеконовую подарок положили спасибо заказывала миксера маме будем испытывать надеюсь прослужит долго подведёт кстати шумный писали шумит он мои нормально шумят тише работают мясорубки покупайте советскую,приходить долгожданный красивый цвет вроде целый испытывать поздно добавлять попробовать работать крышка насадка полагать лопатка селеконовый подарок полагать заказывать мама испытывать надеяться прослужить долго подводить кстати шумный писать шуметь нормально шуметь тихо работать мясорубка покупать советский
"Стоит своих денег . Мощный, спокойно вмешивает пельменное тесто около 1 кг.",2020-10-12T12:55:34Z,фиолетовый,0,2,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,стоит своих денег мощный спокойно вмешивает пельменное тесто около кг,стоять деньги мощный спокойно вмешивать пельменный тесто около
Товар пришёл без крышки!Как оформить возврат? ,2020-10-12T06:31:34Z,фиолетовый,0,6,0,1,Миксер планетарный SPM7167 1600Вт,StarWind,товар пришёл крышки как оформить возврат?,товар приходить крышка оформлять возврат?
Очень круто!Взбила два белка и получилась густая масса.,2020-10-11T17:53:49Z,фиолетовый,0,6,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,круто взбила белка получилась густая масса,круто взбивать белка получаться густой масса
"Оооо, как долго я на него смотрела и сомневалась взять в магазине в своём городе другого производителя. Первое впечатление, он нереально крут. Яйца из холодильника взбил за 10 мин, комнатной темпы за 5 мин. Мощный, стильный, крепления повсюду металл.комплектация вся. Проверила на ПВ, заполн ли гарантийку. Хочу айсинг попробовать на 1 белок замесить. В ходе работы дополню отзыв. Спасибо магазину и производителю.",2020-10-11T14:35:06Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,оооо долго смотрела сомневалась взять магазине своём городе другого производителя первое впечатление нереально крут яйца холодильника взбил мин комнатной темпы мин мощный стильный крепления повсюду металл комплектация вся проверила пв заполн гарантийку хочу айсинг попробовать белок замесить ходе работы дополню отзыв магазину производителю,оооо долго смотреть сомневаться взять магазин город производитель первый впечатление нереально крутой яйцо холодильник взбивать мина комнатный темп мина мощный стильный крепление повсюду металл комплектация весь проверять заполна гарантийка хотеть айсинг попробовать белок замешивать ход дополнять магазин производитель
"Еще не пользовалась. На первый взгляд супер миксер. Все качественное,красивое. Мощный. Сняла звезду за то, что кто- то украл из комплекта лопатку силиконовую!!! Пакет от неё есть, а лопатки нет....",2020-10-11T11:43:21Z,фиолетовый,0,4,0,4,Миксер планетарный SPM7167 1600Вт,StarWind,пользовалась первый взгляд миксер качественное красивое мощный сняла звезду то кто украл комплекта лопатку силиконовую пакет неё есть лопатки нет,пользоваться первый взгляд качественный красивый мощный снимать звезда украсть комплект лопатка силиконовый пакет лопатка
На переключателе скоростей царапина. Внизу у основания корпуса зажат провод и корпус не герметично защелкнут. Поэтому возврат. Прошу не снижать процент выкупа.,2020-10-11T09:40:12Z,фиолетовый,0,4,1,1,Миксер планетарный SPM7167 1600Вт,StarWind,переключателе скоростей царапина внизу основания корпуса зажат провод корпус герметично защелкнут поэтому возврат прошу снижать процент выкупа,переключатель скорость царапина внизу основание корпус зажимать провод корпус герметично защелкивать поэтому возврат просить снижать процент выкуп
"Миксер пришёл хорошо упакован(в две коробки).Всё целое,на пункте выдачи все проверили и заполнили документы.В деле сегодня попробовала-6 яиц с сахаром великолепно взбил на 6 скорости за 5 минут.Я в восторге😊.Надеюсь долго прослужит!",2020-10-10T13:12:25Z,фиолетовый,0,1,0,5,Миксер планетарный SPM7167 1600Вт,StarWind,пришёл упакован в две коробки всё целое на пункте выдачи проверили заполнили документы в деле сегодня попробовала яиц сахаром великолепно взбил скорости минут я восторге надеюсь долго прослужит,приходить упаковывать коробка целое пункт выдача проверять заполнять документ дело сегодня попробовать яйцо сахар великолепно взбивать скорость минута восторг надеяться долго прослужить
"В деле еще не пробовала, но выглядит круто, влюбилась сразу! 😍 На пункте выдачи все проверила, работает отлично, комплект полный, гарантия есть. Пока я очень довольна! 👍Надеюсь в деле себя покажет так же отлично!",2020-10-10T06:37:55Z,фиолетовый,0,1,1,5,Миксер планетарный SPM7167 1600Вт,StarWind,деле пробовала выглядит круто влюбилась сразу пункте выдачи проверила работает отлично комплект полный гарантия есть пока довольна надеюсь деле покажет отлично,дело пробовать выглядеть круто влюбляться сразу пункт выдача проверять работать отлично комплект полный гарантия пока довольный надеяться дело показывать отлично
